dates,mood level,spotify time,total screen time,sleep,caffeine
4/19,3,319,668,0.0,
4/20,2,272,164,0.0,
4/21,4,223,314,0.0,
4/22,2,221,271,0.0,
4/23,3,43,322,0.0,
4/24,2,215,334,0.0,
4/28,3,256,209,0.0,
4/29,3,196,210,6.8,Yes
4/30,2,394,300,6.6,
5/1,3,136,260,6.9,
5/2,3,53,273,0.0,
5/3,4,196,229,0.0,
5/4,2,247,383,0.0,
5/5,2,125,115,8.6,Yes
5/6,3,486,95,8.5,
5/7,3,404,251,0.0,
5/8,4,224,226,0.0,
5/9,3,69,217,0.0,
5/10,3,194,106,6.0,
5/11,4,559,263,5.2,
5/12,3,296,158,7.0,
5/13,3,206,249,4.5,Yes
5/14,3,148,312,9.0,Yes
5/15,3,316,336,0.0,Yes
5/16,4,96,346,7.0,Yes
5/17,3,165,256,7.0,
5/18,4,86,276,8.0,Yes
5/19,3,380,278,8.0,
5/20,2,576,159,9.0,
5/21,2,82,495,5.5,Yes
5/22,3,170,249,8.5,
5/23,3,444,461,6.0,
5/24,4,248,230,7.5,
5/25,3,432,307,6.5,
5/26,3,110,240,8.5,
